Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1,Column1,Column2
Kirk Lake,Putnam,3,2018,C,3/8/2018,10/27/2018,33,3,41.385601,-73.7498016,"(41.385601, -73.7498016)",,
Lawson Lake,Albany,4,2015,HT,3/7/2015,10/27/2015,33,6,42.5391006,-73.9598999,"(42.5391006, -73.9598999)",,
Nassau Lake,Rensselaer,5,2018,C,3/8/2018,10/20/2018,32,3,42.5381012,-73.6037979,"(42.5381012, -73.6037979)",,
Rockland Lake,Rockland,3,2018,S,3/8/2018,10/20/2018,32,1,41.1385994,-73.9227982,"(41.1385994, -73.9227982)",,
Sheldrake Lake,Westchester,3,2018,HT,3/8/2018,10/20/2018,32,3,40.9524002,-73.774498,"(40.9524002, -73.774498)",,
Chautauqua Lake,Chautauqua,9,2015,HT,3/7/2015,10/20/2015,32,8,42.156238,-79.393483,"(42.156238, -79.393483)",,
Oneida Lake,Onondaga,7,2015,S,3/7/2015,10/20/2015,32,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Oneida Lake,Oswego,7,2015,S,3/7/2015,10/20/2015,32,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Kirk Lake,Putnam,3,2015,C,3/7/2015,10/20/2015,32,7,41.385601,-73.7498016,"(41.385601, -73.7498016)",,
Kirk Lake,Putnam,3,2014,HT,3/10/2014,10/20/2014,32,2,41.385601,-73.7498016,"(41.385601, -73.7498016)",,
Lake Lincolndale,Westchester,3,2015,C,3/7/2015,10/13/2015,31,3,41.3419991,-73.7254028,"(41.3419991, -73.7254028)",,
Bedford Lake,Westchester,3,2014,C,3/8/2014,10/13/2014,31,2,41.1948013,-73.7036972,"(41.1948013, -73.7036972)",,
Coxsackie Reservoir,Greene,4,2017,C,4/8/2017,10/27/2017,29,1,42.4076004,-73.8778,"(42.4076004, -73.8778)",,
Evens Lake,Sullivan,3,2017,HT,4/8/2017,10/27/2017,29,2,41.765001,-74.652425,"(41.765001, -74.652425)",,
Cedar Lake,Herkimer,6,2015,C,4/9/2015,10/27/2015,29,1,42.953701,-75.185997,"(42.953701, -75.185997)",,
Sucker Brook,Ontario,8,2015,C,4/9/2015,10/27/2015,29,1,42.875013,-77.276525,"(42.875013, -77.276525)",,
Cayuga-Seneca Canal,Seneca,8,2015,C,4/9/2015,10/27/2015,29,1,42.909555,-76.799193,"(42.909555, -76.799193)",,
Lake Tonetta,Putnam,3,2014,S,4/8/2014,10/27/2014,29,1,41.4216995,-73.6109009,"(41.4216995, -73.6109009)",,
Division Pond,Suffolk,1,2014,S,4/8/2014,10/27/2014,29,2,40.8852005,-72.5659027,"(40.8852005, -72.5659027)",,
Keuka Lake,Steuben,8,2017,HT,4/8/2017,10/20/2017,28,5,42.4934006,-77.1395035,"(42.4934006, -77.1395035)",,
Panther Lake,Oswego,7,2017,C,4/8/2017,10/20/2017,28,2,43.3292007,-75.908699,"(43.3292007, -75.908699)",,
Oakland Lake,Queens,2,2017,C,4/8/2017,10/20/2017,28,10,40.7585983,-73.7595978,"(40.7585983, -73.7595978)",,
Brown's Pond,Orange,3,2015,S,4/9/2015,10/20/2015,28,1,41.4740982,-74.0867996,"(41.4740982, -74.0867996)",,
Wyomoco Pond,Wyoming,8,2018,S,3/8/2018,9/14/2018,27,2,42.7661018,-78.2934036,"(42.7661018, -78.2934036)",,
Millsite Lake,Jefferson,6,2017,S,4/8/2017,10/13/2017,27,1,44.2921982,-75.7675018,"(44.2921982, -75.7675018)",,
Black Lake,St Lawrence,6,2017,C,4/8/2017,10/13/2017,27,2,44.5379982,-75.5688019,"(44.5379982, -75.5688019)",,
Maratooka Lake,Suffolk,1,2014,HT,4/6/2014,10/2/2014,26,9,40.991885,-72.523684,"(40.991885, -72.523684)",,
Keuka Lake,Yates,8,2017,HT,4/8/2017,10/2/2017,25,5,42.4934006,-77.1395035,"(42.4934006, -77.1395035)",,
Lake Lincolndale,Westchester,3,2016,HT,5/8/2016,10/27/2016,25,4,41.3419991,-73.7254028,"(41.3419991, -73.7254028)",,
North Sandy Pond,Oswego,7,2016,HT,5/8/2016,10/27/2016,25,4,43.64303,-76.1851399,"(43.64303, -76.1851399)",,
Buck Pond,Monroe,8,2016,C,5/8/2016,10/27/2016,25,1,43.28151,-77.66383,"(43.28151, -77.66383)",,
Lake Capri,Suffolk,1,2014,C,4/9/2014,9/29/2014,25,1,40.696701,-73.3007965,"(40.696701, -73.3007965)",,
Copake Lake,Columbia,5,2014,C,4/9/2014,9/29/2014,25,3,42.144001,-73.5954971,"(42.144001, -73.5954971)",,
Prospect Park Lake,Kings,2,2015,HT,5/8/2015,10/20/2015,24,24,40.6548996,-73.969902,"(40.6548996, -73.969902)",,
Olana Pond,Columbia,5,2014,S,5/8/2014,10/20/2014,24,1,42.2117996,-73.831398,"(42.2117996, -73.831398)",,
Prospect Park Lake,Kings,2,2017,HT,5/19/2017,10/27/2017,23,23,40.6548996,-73.969902,"(40.6548996, -73.969902)",,
Roth Pond,Suffolk,1,2016,HT,5/8/2016,10/13/2016,23,9,40.911804,-73.123789,"(40.911804, -73.123789)",,
Cranberry Pond,Monroe,8,2016,HT,5/8/2016,10/13/2016,23,2,43.300499,-77.6973038,"(43.300499, -77.6973038)",,
Sixtown Pond/Crystal Lake,Jefferson,6,2016,C,5/8/2016,10/13/2016,23,2,43.8291467,-76.1264733,"(43.82914667, -76.12647333)",,
Agawam Lake,Suffolk,1,2015,HT,5/22/2015,10/30/2015,23,16,40.8744011,-72.3921967,"(40.8744011, -72.3921967)",,
Big Reed Pond,Suffolk,1,2014,C,5/21/2014,10/27/2014,23,5,41.0780983,-71.9101028,"(41.0780983, -71.9101028)",,
Agawam Lake,Suffolk,1,2018,HT,5/25/2018,10/26/2018,22,22,40.8744011,-72.3921967,"(40.8744011, -72.3921967)",,
Prospect Park Lake,Kings,2,2018,HT,5/18/2018,10/19/2018,22,21,40.6548996,-73.969902,"(40.6548996, -73.969902)",,
Plymouth Reservoir,Chenango,7,2018,HT,5/25/2018,10/27/2018,22,2,42.5881004,-75.651001,"(42.5881004, -75.651001)",,
Roth Pond,Suffolk,1,2017,HT,5/26/2017,10/27/2017,22,18,40.911804,-73.123789,"(40.911804, -73.123789)",,
Agawam Lake,Suffolk,1,2017,HT,5/26/2017,10/27/2017,22,22,40.8744011,-72.3921967,"(40.8744011, -72.3921967)",,
Mill Pond (Watermill),Suffolk,1,2015,HT,5/22/2015,10/20/2015,22,12,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Mill Pond (Watermill),Suffolk,1,2014,HT,5/14/2014,10/18/2014,22,18,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Deans Pond,Cortland,7,2014,HT,5/20/2014,10/18/2014,22,9,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
Craine Lake,Madison,7,2013,HT,5/1/2013,9/29/2013,22,9,42.76085,-75.55753,"(42.76085, -75.55753)",,
Craine Lake,Madison,7,2018,HT,6/1/2018,10/27/2018,21,6,42.76085,-75.55753,"(42.76085, -75.55753)",,
Mill Pond (Watermill),Suffolk,1,2018,C,6/1/2018,10/27/2018,21,21,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Lake Neatahwanta,Oswego,7,2017,HT,5/26/2017,10/21/2017,21,18,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Fieldston's Indian Lake (aka: Indian Pond in Crotona Park),Bronx,2,2017,C,5/26/2017,10/20/2017,21,11,40.8382988,-73.8940964,"(40.8382988, -73.8940964)",,
The Lake in Central Park,New York,2,2017,HT,6/2/2017,10/27/2017,21,21,40.775738,-73.971765,"(40.775738, -73.971765)",,
Kissena Lake,Queens,2,2017,HT,5/26/2017,10/20/2017,21,7,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
Agawam Lake,Suffolk,1,2016,HT,6/10/2016,11/4/2016,21,21,40.8744011,-72.3921967,"(40.8744011, -72.3921967)",,
Orange Lake,Orange,3,2016,C,6/2/2016,10/27/2016,21,4,41.5488014,-74.1036987,"(41.5488014, -74.1036987)",,
North Sandy Pond,Jefferson,6,2016,HT,5/8/2016,10/2/2016,21,4,43.64303,-76.1851399,"(43.64303, -76.1851399)",,
Lake Ronkonkoma,Suffolk,1,2015,C,5/22/2015,10/13/2015,21,11,40.821991,-73.11927,"(40.821991, -73.11927)",,
Lake Waccabuc,Westchester,3,2014,C,5/8/2014,9/29/2014,21,1,41.297699,-73.5840988,"(41.297699, -73.5840988)",,
Agawam Lake,Suffolk,1,2014,HT,5/28/2014,10/24/2014,21,20,40.8744011,-72.3921967,"(40.8744011, -72.3921967)",,
Sleepy Hollow Lake,Greene,4,2014,C,5/8/2014,10/2/2014,21,1,42.2943993,-73.8069,"(42.2943993, -73.8069)",,
Eagle Pond,Franklin,5,2018,C,6/1/2018,10/20/2018,20,4,44.6689987,-74.2738037,"(44.6689987, -74.2738037)",,
Honeoye Lake,Ontario,8,2018,C,6/8/2018,10/27/2018,20,15,42.7542,-77.5115967,"(42.7542, -77.5115967)",,
Chautauqua Lake,Chautauqua,9,2018,HT,5/25/2018,10/13/2018,20,17,42.156238,-79.393483,"(42.156238, -79.393483)",,
Millsite Lake,Jefferson,6,2018,S,6/7/2018,10/27/2018,20,1,44.2921982,-75.7675018,"(44.2921982, -75.7675018)",,
The Lake in Central Park,New York,2,2018,HT,6/8/2018,10/27/2018,20,19,40.775738,-73.971765,"(40.775738, -73.971765)",,
Orange Lake,Orange,3,2017,C,5/26/2017,10/13/2017,20,5,41.5488014,-74.1036987,"(41.5488014, -74.1036987)",,
Song Lake,Cortland,7,2017,C,6/2/2017,10/20/2017,20,2,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Mill Pond (Watermill),Suffolk,1,2016,HT,6/10/2016,10/28/2016,20,20,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Dean Pond,Cortland,7,2016,HT,6/10/2016,10/27/2016,20,12,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
The Lake in Central Park,New York,2,2016,HT,6/10/2016,10/28/2016,20,20,40.775738,-73.971765,"(40.775738, -73.971765)",,
Dean Pond,Cortland,7,2015,HT,5/29/2015,10/13/2015,20,9,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
Evens Lake,Sullivan,3,2015,HT,6/12/2015,10/27/2015,20,9,41.765001,-74.652425,"(41.765001, -74.652425)",,
Maratooka Lake,Suffolk,1,2015,HT,6/12/2015,10/27/2015,20,14,40.991885,-72.523684,"(40.991885, -72.523684)",,
Conesus Creek,Livingston,8,2014,S,5/9/2014,9/29/2014,20,1,42.834736,-77.704561,"(42.834736, -77.704561)",,
Blue Heron Lake,Westchester,3,2014,HT,6/1/2014,10/20/2014,20,2,41.1916008,-73.5922012,"(41.1916008, -73.5922012)",,
Prospect Park Lake,Kings,2,2014,C,6/11/2014,10/27/2014,20,5,40.6548996,-73.969902,"(40.6548996, -73.969902)",,
Lake Neatahwanta,Oswego,7,2013,C,5/29/2013,10/13/2013,20,5,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Song Lake,Cortland,7,2013,HT,6/6/2013,10/27/2013,20,3,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Morningside Pond,New York,2,2018,HT,6/8/2018,10/19/2018,19,10,40.803761,-73.958943,"(40.803761, -73.958943)",,
Maratooka Lake,Suffolk,1,2018,HT,6/15/2018,10/27/2018,19,8,40.991885,-72.523684,"(40.991885, -72.523684)",,
Roaring Brook Lake,Putnam,3,2018,HT,5/25/2018,10/2/2018,19,12,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Lake Mahopac,Putnam,3,2018,S,6/8/2018,10/20/2018,19,2,41.35558,-73.7784,"(41.35558, -73.7784)",,
Lamoka Lake,Schuyler,8,2017,S,6/10/2017,10/20/2017,19,1,42.4057999,-77.0777969,"(42.4057999, -77.0777969)",,
Roaring Brook Lake,Putnam,3,2017,HT,6/9/2017,10/20/2017,19,8,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Muchattoes Lake,Orange,3,2017,C,6/10/2017,10/20/2017,19,1,41.4968987,-74.0309982,"(41.4968987, -74.0309982)",,
Lake Lacoma,Monroe,8,2017,C,6/9/2017,10/20/2017,19,6,43.0508995,-77.4794006,"(43.0508995, -77.4794006)",,
Cazenovia Lake,Madison,7,2016,C,6/17/2016,10/27/2016,19,1,42.9482002,-75.8720016,"(42.9482002, -75.8720016)",,
Bowne Pond,Queens,2,2016,C,6/17/2016,10/27/2016,19,11,40.770707,-73.808255,"(40.770707, -73.808255)",,
Prospect Park Lake,Kings,2,2016,HT,6/17/2016,10/27/2016,19,19,40.6548996,-73.969902,"(40.6548996, -73.969902)",,
Montgomery Lake,Sullivan,3,2016,C,6/10/2016,10/20/2016,19,7,41.5252991,-74.9172974,"(41.5252991, -74.9172974)",,
Avon Marsh Dam Pond,Livingston,8,2015,HT,7/8/2015,11/15/2015,19,8,42.9011002,-77.668602,"(42.9011002, -77.668602)",,
Lake Lincolndale,Westchester,3,2014,HT,6/14/2014,10/27/2014,19,3,41.3419991,-73.7254028,"(41.3419991, -73.7254028)",,
Quaker Lake,Cattaraugus,9,2014,S,6/16/2014,10/27/2014,19,2,42.0433006,-78.8677979,"(42.0433006, -78.8677979)",,
Lake Waccabuc,Westchester,3,2013,C,6/16/2013,10/27/2013,19,2,41.297699,-73.5840988,"(41.297699, -73.5840988)",,
Bowne Pond,Queens,2,2012,S,6/17/2012,10/27/2012,19,1,40.770707,-73.808255,"(40.770707, -73.808255)",,
Beaver Lake,Broome,7,2012,C,6/18/2012,10/27/2012,19,5,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Loon Lake,Warren,5,2012,C,6/16/2012,10/27/2012,19,1,43.6670691,-73.8478694,"(43.6670691, -73.8478694)",,
Sylvan Lake,Dutchess,3,2018,S,6/15/2018,10/20/2018,18,1,41.58839,-73.69782,"(41.58839, -73.69782)",,
Lake Lacoma,Monroe,7,2018,C,6/15/2018,10/20/2018,18,1,43.0508995,-77.4794006,"(43.0508995, -77.4794006)",,
Roth Pond,Suffolk,1,2018,HT,5/25/2018,9/29/2018,18,16,40.911804,-73.123789,"(40.911804, -73.123789)",,
Beaver Dam Lake,Orange,3,2018,HT,6/8/2018,10/12/2018,18,10,41.4420013,-74.1158981,"(41.4420013, -74.1158981)",,
Cazenovia Lake,Madison,7,2018,C,6/7/2018,10/13/2018,18,5,42.9482002,-75.8720016,"(42.9482002, -75.8720016)",,
Burden Third Lake,Rensselaer,5,2017,C,6/16/2017,10/20/2017,18,1,42.5946999,-73.5614014,"(42.5946999, -73.5614014)",,
Glen Lake,Warren,5,2017,C,6/16/2017,10/20/2017,18,1,43.3636017,-73.6732025,"(43.3636017, -73.6732025)",,
Chautauqua Lake,Chautauqua,9,2017,HT,6/25/2017,10/27/2017,18,15,42.156238,-79.393483,"(42.156238, -79.393483)",,
Mill Pond (Watermill),Suffolk,1,2017,C,5/26/2017,10/2/2017,18,18,40.9145012,-72.3582993,"(40.9145012, -72.3582993)",,
Tuscarora Lake,Madison,7,2017,C,6/10/2017,10/13/2017,18,1,42.8665009,-75.7585983,"(42.8665009, -75.7585983)",,
Cayuta Lake,Schuyler,8,2017,HT,6/25/2017,10/27/2017,18,7,42.3670006,-76.7352982,"(42.3670006, -76.7352982)",,
Goose Pond,Queens,2,2017,HT,5/26/2017,10/2/2017,18,1,40.7118988,-73.7986984,"(40.7118988, -73.7986984)",,
Old Town Pond,Suffolk,1,2017,C,6/25/2017,10/27/2017,18,16,40.878721,-72.372558,"(40.878721, -72.372558)",,
Maratooka Lake,Suffolk,1,2016,HT,6/10/2016,10/13/2016,18,11,40.991885,-72.523684,"(40.991885, -72.523684)",,
Moon Lake,Jefferson,6,2016,S,6/24/2016,10/27/2016,18,6,44.2542992,-75.732399,"(44.2542992, -75.732399)",,
Lake Mohegan,Westchester,3,2015,C,6/26/2015,10/27/2015,18,2,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Orange Lake,Orange,3,2015,C,5/29/2015,10/2/2015,18,10,41.5488014,-74.1036987,"(41.5488014, -74.1036987)",,
Big Reed Pond,Suffolk,1,2015,C,5/29/2015,9/29/2015,18,2,41.0780983,-71.9101028,"(41.0780983, -71.9101028)",,
Golden Pond,Queens,2,2015,S,6/8/2015,10/13/2015,18,1,40.7710991,-73.7649002,"(40.7710991, -73.7649002)",,
Lake Neatahwanta,Oswego,7,2014,HT,6/25/2014,10/27/2014,18,14,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Arctic Lake,Broome,7,2014,S,3/10/2014,7/17/2014,18,4,42.1792984,-75.4252014,"(42.1792984, -75.4252014)",,
Echo Lake,Chenango,7,2013,C,5/29/2013,9/29/2013,18,3,42.3862991,-75.8507004,"(42.3862991, -75.8507004)",,
Song Lake,Cortland,7,2018,C,6/22/2018,10/20/2018,17,2,42.7723007,-76.146864,"(42.7723007, -76.146864)",,
Kissena Lake,Queens,2,2018,C,6/22/2018,10/20/2018,17,9,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
Oneida Lake,Onondaga,7,2018,S,6/29/2018,10/27/2018,17,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Turtle Pond,New York,2,2018,HT,6/22/2018,10/20/2018,17,17,40.7793007,-73.9673996,"(40.7793007, -73.9673996)",,
Lake Mohegan,Westchester,3,2018,C,6/22/2018,10/19/2018,17,7,41.3139992,-73.8488007,"(41.3139992, -73.8488007)",,
Lake Neatahwanta,Oswego,7,2018,HT,6/22/2018,10/19/2018,17,16,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Indian Lake,Putnam,3,2018,C,6/29/2018,10/27/2018,17,1,41.3731003,-73.8877029,"(41.3731003, -73.8877029)",,
Beaver Dam Lake,Orange,3,2017,C,6/30/2017,10/27/2017,17,6,41.4420013,-74.1158981,"(41.4420013, -74.1158981)",,
Oneida Lake,Oneida,6,2017,HT,6/30/2017,10/27/2017,17,7,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Oneida Lake,Oswego,7,2017,HT,6/30/2017,10/27/2017,17,7,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Hiawatha Lake,Onondaga,7,2017,HT,6/30/2017,10/27/2017,17,5,43.0257988,-76.1687012,"(43.0257988, -76.1687012)",,
Lake Neatahwanta,Oswego,7,2016,HT,6/2/2016,9/29/2016,17,12,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Craine Lake,Madison,7,2016,HT,6/24/2016,10/20/2016,17,5,42.76085,-75.55753,"(42.76085, -75.55753)",,
Conesus Lake,Livingston,8,2016,C,6/24/2016,10/20/2016,17,4,42.7522011,-77.7186966,"(42.7522011, -77.7186966)",,
Avon Marsh Dam Pond,Livingston,8,2016,HT,6/17/2016,10/14/2016,17,8,42.9011002,-77.668602,"(42.9011002, -77.668602)",,
Clove Lake,Richmond,2,2015,S,6/8/2015,10/2/2015,17,1,40.6167984,-74.1075974,"(40.6167984, -74.1075974)",,
Boyd Lake,Jefferson,6,2014,HT,6/19/2014,10/16/2014,17,7,44.3093987,-75.7397003,"(44.3093987, -75.7397003)",,
Smith Pond,Steuben,8,2014,C,6/29/2014,10/27/2014,17,3,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
Kissena Lake,Queens,2,2014,HT,5/30/2014,9/29/2014,17,6,40.7481003,-73.8054962,"(40.7481003, -73.8054962)",,
East Branch Hackensack River,Rockland,3,2014,S,6/25/2014,10/20/2014,17,1,41.121117,-73.960648,"(41.121117, -73.960648)",,
Tuscarora Lake,Madison,7,2013,C,6/27/2013,10/27/2013,17,3,42.8665009,-75.7585983,"(42.8665009, -75.7585983)",,
Lake Neatahwanta,Oswego,7,2012,S,6/28/2012,10/27/2012,17,5,43.3081017,-76.4372025,"(43.3081017, -76.4372025)",,
Laurel Lake,Suffolk,1,2018,C,6/29/2018,10/20/2018,16,1,40.9789009,-72.5575027,"(40.9789009, -72.5575027)",,
Croton Falls Reservoir,Putnam,3,2018,S,3/8/2018,6/30/2018,16,1,41.3781013,-73.6547012,"(41.3781013, -73.6547012)",,
Indian Lake,Bronx,2,2018,C,6/22/2018,10/13/2018,16,7,41.3731003,-73.8877029,"(41.3731003, -73.8877029)",,
Paine Lake,Westchester,3,2018,HT,3/8/2018,6/30/2018,16,3,41.548,-73.69487,"(41.548, -73.69487)",,
Harlem Meer,New York,2,2018,HT,6/8/2018,9/28/2018,16,16,40.7961006,-73.9512024,"(40.7961006, -73.9512024)",,
Smith Pond,Steuben,8,2018,C,6/29/2018,10/20/2018,16,6,42.3888016,-77.4744034,"(42.3888016, -77.4744034)",,
Lawson Lake,Albany,4,2018,C,6/7/2018,9/29/2018,16,2,42.5391006,-73.9598999,"(42.5391006, -73.9598999)",,
Barger Pond,Putnam,3,2018,C,6/7/2018,9/29/2018,16,3,41.3595009,-73.8126984,"(41.3595009, -73.8126984)",,
Jamesville Reservoir,Onondaga,7,2018,C,6/29/2018,10/20/2018,16,3,42.973999,-76.0690994,"(42.973999, -76.0690994)",,
Oneida Lake,Madison,7,2018,S,6/29/2018,10/20/2018,16,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
Delta Lake,Oneida,6,2018,S,7/9/2018,10/27/2018,16,1,43.29321,-75.47231,"(43.29321, -75.47231)",,
Town of Babylon Pond,Suffolk,1,2018,C,7/9/2018,10/27/2018,16,1,40.70963,-73.32589,"(40.70963, -73.32589)",,
Lake Carmel,Putnam,3,2018,C,6/29/2018,10/20/2018,16,3,41.4584999,-73.6650009,"(41.4584999, -73.6650009)",,
Washington Park Pond,Albany,4,2018,HT,6/29/2018,10/19/2018,16,7,42.6571007,-73.7733002,"(42.6571007, -73.7733002)",,
Turtle Pond,New York,2,2017,HT,7/7/2017,10/27/2017,16,16,40.7793007,-73.9673996,"(40.7793007, -73.9673996)",,
Indian Lake,Putnam,3,2017,C,7/7/2017,10/27/2017,16,1,41.3731003,-73.8877029,"(41.3731003, -73.8877029)",,
Bowne Pond,Queens,2,2017,C,6/9/2017,9/29/2017,16,4,40.770707,-73.808255,"(40.770707, -73.808255)",,
Sodus Bay,Wayne,8,2017,C,6/30/2017,10/20/2017,16,1,43.2482986,-76.9585037,"(43.2482986, -76.9585037)",,
Maratooka Lake,Suffolk,1,2017,C,6/9/2017,9/29/2017,16,10,40.991885,-72.523684,"(40.991885, -72.523684)",,
Dean Pond,Cortland,7,2017,HT,6/9/2017,9/29/2017,16,7,42.4477005,-76.0034027,"(42.4477005, -76.0034027)",,
Beaver Lake,Broome,7,2017,C,6/30/2017,10/20/2017,16,3,42.0455017,-75.6657028,"(42.0455017, -75.6657028)",,
Java Lake,Wyoming,8,2017,HT,7/7/2017,10/27/2017,16,11,42.6313019,-78.3439026,"(42.6313019, -78.3439026)",,
Old Town Pond,Suffolk,1,2016,C,6/24/2016,10/13/2016,16,11,40.878721,-72.372558,"(40.878721, -72.372558)",,
Roaring Brook Lake,Putnam,3,2016,C,7/1/2016,10/20/2016,16,1,41.4388008,-73.8075027,"(41.4388008, -73.8075027)",,
Harlem Meer,New York,2,2016,HT,7/8/2016,10/27/2016,16,16,40.7961006,-73.9512024,"(40.7961006, -73.9512024)",,
Chautauqua Lake,Chautauqua,9,2016,HT,7/11/2016,10/28/2016,16,12,42.156238,-79.393483,"(42.156238, -79.393483)",,
New Rochelle Reservoir No.3,Westchester,3,2016,S,7/10/2016,10/27/2016,16,2,40.9463005,-73.8013,"(40.9463005, -73.8013)",,
Wainscott Pond,Suffolk,1,2016,C,6/10/2016,9/30/2016,16,13,40.9292984,-72.2425995,"(40.9292984, -72.2425995)",,
Oneida Lake,Oneida,6,2015,S,3/7/2015,6/30/2015,16,5,43.2033005,-75.9100037,"(43.2033005, -75.9100037)",,
